Location,Price_Raw,SqFt_Raw,Age_Years
"3 BHK Flat for Sale in Signature Global Daxin Vistas, Sohna, Gurgaon","₹
1.97 Cr",1550 sqft,5
"3 BHK Flat for Sale in M3M Antalya Hills Phase I, Sector 79, Gurgaon","₹
2.35 Cr",1547 sqft,5
"3 BHK Flat for Sale in Tribeca Trump Tower, Sector 65, Gurgaon","₹
11.65 Cr",3525 sqft,5
"3 BHK Flat for Sale in Puri Diplomatic Residences, Sector 111, Gurgaon","₹
4.62 Cr",2380 sqft,5
"3 BHK Flat for Sale in Trump Residences Gurgaon, Sector 69, Gurgaon","₹
9.88 Cr",3700 sqft,5
"3 BHK Flat for Sale in MRG Crown, Sector 106, Gurgaon","₹
2.67 Cr",1503 sqft,5
"3 BHK Flat for Sale in Conscient Elevate, Sector 59, Gurgaon","₹
5.02 Cr",1159 sqft,5
"3 BHK Flat for Sale in Emaar Serenity Hills, Sector 86, Gurgaon","₹
3.88 Cr",1219 sqft,5
"3 BHK Flat for Sale in Suncity Monarch Residences, Sector 78, Gurgaon","₹
3.76 Cr",1333 sqft,5
"3 BHK Flat for Sale in Indiabulls Centrum Park, Sector 103, Gurgaon","₹
1.81 Cr",1725 sqft,5
"3 BHK Flat for Sale in M2K Olive Green Floors, Sector 104, Gurgaon","₹
2.02 Cr",1578 sqft,5
"3 BHK Flat for Sale in Whiteland Urban Resort, Sector 103, Gurgaon","₹
7.57 Cr",2939 sqft,5
"3 BHK Flat for Sale in Signature Global Daxin Vistas, Sohna, Gurgaon","₹
1.97 Cr",1550 sqft,5
"3 BHK Flat for Sale in Ambience Creacions, Sector 22, Gurgaon","₹
6.18 Cr",3090 sqft,5
"3 BHK Flat for Sale in Max Estate 361, Harsaru, Gurgaon","₹
5.50 Cr",1449 sqft,5
"3 BHK Flat for Sale in BPTP GAIA Residences, Sector 102, Gurgaon","₹
3.70 Cr",2060 sqft,5
"3 BHK Flat for Sale in Godrej Air, Sector 85, Gurgaon","₹
2.97 Cr",1800 sqft,5
"3 BHK Flat for Sale in The Palatial by Hero Homes, Sector 104, Gurgaon","₹
4.81 Cr",1446 sqft,5
"3 BHK Flat for Sale in Chintels Serenity, Sector 109, Gurgaon","₹
3.57 Cr",1132 sqft,5
"3 BHK Flat for Sale in Suncity Monarch Residences, Sector 78, Gurgaon","₹
3.76 Cr",1333 sqft,5
"3 BHK Flat for Sale in Estate 360, Sector 36A, Gurgaon","₹
5.68 Cr",2844 sqft,5
"3 BHK Flat for Sale in Independent Floors at DLF City Phase IV, Phase 4 DLF, Gurgaon","₹
4 Cr",2500 sqft,5
"3 BHK Flat for Sale in M3M Golf Hills Phase 1, Sector 79, Gurgaon","₹
4.43 Cr",2365 sqft,5
"3 BHK Flat for Sale in DLF Park Place, Sector 54, Gurgaon","₹
7.93 Cr",2282 sqft,5
"3 BHK Flat for Sale in Godrej Sora, Sector 53, Gurgaon","₹
8.31 Cr",2771 sqft,5
"2 BHK Flat for Sale in Ireo The Grand Arch, Sector 58, Gurgaon","₹
3.76 Cr",1629 sqft,5
"3 BHK Flat for Sale in M3M Forestia West I, Manesar, Gurgaon","₹
2.35 Cr",1910 sqft,5
"3 BHK Flat for Sale in Indiabulls Estate and Club, Sector 104, Gurgaon","₹
5 Cr",1328 sqft,5
"3 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon","₹
3.11 Cr",1405 sqft,5
"3 BHK Flat for Sale in Indiabulls Centrum Park, Sector 103, Gurgaon","₹
1.87 Cr",1790 sqft,5
"3 BHK Builder Floor for Sale in Signature Global City 93, Sector 93 Gurgaon","₹
2.05 Cr",1070 sqft,5
"3 BHK Apartment for Sale in Emaar Serenity Hills, Sector 86 Gurgaon","₹
3.88 Cr",1219 sqft,5
"3 BHK Apartment for Sale in M3M Golf Estate, Sector 65 Gurgaon","₹
9.35 Cr",3900 sqft,5
"2 BHK Apartment for Sale in Ireo The Corridors, Sector 67A Gurgaon","₹
2.20 Cr",1296 sqft,5
"3 BHK Apartment for Sale in Conscient Elaira Residences Phase 1, Sector 80 Gurgaon","₹
3.65 Cr",2695 sqft,5
"3 BHK Apartment for Sale in Signature Global Daxin Vistas, Sohna Gurgaon","₹
1.97 Cr",1550 sqft,5
"3 BHK Apartment for Sale in Elan The Presidential, Sector 106 Gurgaon","₹
4.77 Cr",1347 sqft,5
"3 BHK Apartment for Sale in Central Park Delphine, Sector 104 Gurgaon","₹
11.35 Cr",4281 sqft,5
"3 BHK Apartment for Sale in Tata Gurgaon Gateway, Sector 112 Gurgaon","₹
3.26 Cr",2225 sqft,5
"3 BHK Apartment for Sale in BLF Nature Valley, Sector 35 Sohna Gurgaon","₹
1.93 Cr",1503 sqft,5
"3 BHK Apartment for Sale in Arttech The Story House, Sector 89A Gurgaon","₹
2.67 Cr",1019 sqft,5
"3 BHK Apartment for Sale in Signature Global Sarvam at DXP Estate, Sector 37D, Delhi Gurgaon Expressway Gurgaon","₹
3.62 Cr",2340 sqft,5
"3 BHK Apartment for Sale in Smartworld Sky ARC, Sector 69 Gurgaon","₹
5.33 Cr",2690 sqft,5
"2 BHK Apartment for Sale in Godrej Meridien, Sector 106 Gurgaon","₹
2.15 Cr",817 sqft,5
"3 BHK Apartment for Sale in Ireo The Corridors, Sector 67A Gurgaon","₹
3.15 Cr",1852 sqft,5
"3 BHK Apartment for Sale in Ambience Creacions, Sector 22 Gurgaon","₹
6.18 Cr",3090 sqft,5
"3 BHK Builder Floor for Sale in Paras Floret, Sector 59 Gurgaon","₹
3.32 Cr",1750 sqft,5
"3 BHK Apartment for Sale in SIGNATURE GLOBAL PARK I EXT, Sector 36 Sohna Gurgaon","₹
1.92 Cr",1550 sqft,5
"3 BHK Apartment for Sale in Signatureglobal Titanium SPR, Sector 71 Gurgaon","₹
4.72 Cr",2780 sqft,5
"3 BHK Apartment for Sale in Tulip Monsella, Sector 53 Gurgaon","₹
9.90 Cr",2874 sqft,5
"3 BHK Apartment for Sale in The Palatial by Hero Homes, Sector 104 Gurgaon","₹
4.81 Cr",1446 sqft,5
